,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_9
1,Stablingsbrett til vaskemaskin,600,1. mai 2022,Ski,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-0/01/8/256/817/248_668136531.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256817248,finn,0.22054_9
2,Vaskemaskin Bosch,2500,1. mai 2022,Skjetten,https://images.finncdn.no/dynamic/480x640c/2021/11/vertical-0/10/7/238/217/727_632429938.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=238217727,finn,0.22054_9
3,Bosch vaskemaskin,1850,29. apr. 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/29/2/256/468/542_1377696196.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256468542,finn,0.22054_9
4,Integrert vaskemaskine som passer pa kjøkken under benk.,9000,27. apr. 2022,Borgen,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/27/9/256/319/489_1766770528.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=256319489,finn,0.22054_9
5,Blå farge,500,19. apr. 2022,Ski,https://images.finncdn.no/dynamic/480x480c/2022/4/vertical-0/19/3/205/869/973_1438167090.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=205869973,finn,0.22054_9
6,Tilkobling myk slange til vaskemaskin,100,18. apr. 2022,Langhus,https://images.finncdn.no/dynamic/480x640c/2021/9/vertical-0/12/3/231/700/383_286171745.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=231700383,finn,0.22054_9
7,Gummiføtter - til vaskemaskin og tørketrommel - Reduserer støy og vibrasjoner.,99,18. apr. 2022,Drammen,https://images.finncdn.no/dynamic/480x480c/2022/2/vertical-0/13/5/247/875/325_838961942.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=247875325,finn,0.22054_9
8,Vaskemaskin selges billig,3390,17. apr. 2022,Asker,https://images.finncdn.no/dynamic/480x360c/2021/9/vertical-0/07/8/231/182/478_3432340.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=231182478,finn,0.22054_9
9,Vaskemaskin,1000,16. apr. 2022,Strømmen,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/16/2/254/987/612_710370399.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254987612,finn,0.22054_9
10,Vaskemadkinstativ,450,14. apr. 2022,Kjeller,https://images.finncdn.no/dynamic/480x360c/2022/4/vertical-0/14/2/254/854/432_914100039.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254854432,finn,0.22054_9
11,Vaskemaskin Miele,2000,14. apr. 2022,Fetsund,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/14/2/254/850/252_882870962.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254850252,finn,0.22054_9
12,AEG VASKEMASKIN,1000,14. apr. 2022,Solbergelva,https://static.finncdn.no/_c/mfinn/static/images/no-image.5bf83e47.svg,https://www.finn.no/bap/forsale/ad.html?finnkode=254849916,finn,0.22054_9
13,Vaskemaskinstativ,300,14. apr. 2022,Svelvik,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/14/8/254/826/258_203233273.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254826258,finn,0.22054_9
14,"Whirlpool vaskemaskin med en liten feil, 6th sense teknologi selges",1000,14. apr. 2022,Drammen,https://images.finncdn.no/dynamic/480x480c/2021/11/vertical-0/04/4/237/668/044_241494033.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=237668044,finn,0.22054_9
15,Electrolux proff maskiner,10000,12. apr. 2022,Askim,https://images.finncdn.no/dynamic/480x640c/2022/2/vertical-0/10/1/247/862/291_1151826835.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=247862291,finn,0.22054_9
16,vaskemaskin,3100,11. apr. 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/11/4/254/487/214_1442818315.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254487214,finn,0.22054_9
17,vaskemaskin,499,11. apr. 2022,Strømmen,https://images.finncdn.no/dynamic/480x640c/2022/2/vertical-0/04/7/247/183/647_399339518.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=247183647,finn,0.22054_9
18,Godt brukt AEG Lavamat vaskemaskin,500,10. apr. 2022,Heggedal,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/10/2/254/398/462_1864693767.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254398462,finn,0.22054_9
19,Vaskemaskin selges tar  8kg,3500,10. apr. 2022,Skedsmokorset,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/10/7/254/383/297_13454785.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254383297,finn,0.22054_9
20,Lite brukt IQ 100 vaskemaskin,2950,10. apr. 2022,Drammen,https://images.finncdn.no/dynamic/480x640c/2022/4/vertical-0/10/9/254/368/279_1974926940.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=254368279,finn,0.22054_9
